ep,tag,avg_loss_data,avg_loss_reg,avg_loss_mono,avg_loss_tail,avg_loss_total
1,[Warmup theta] Ep 01,0.04842390415551317,0.0,0.0,0.06622440024323999,0.05173512431478279
2,[Warmup theta] Ep 02,0.041875503915516754,0.0,0.0,0.07748257114203502,0.045749632434013324
3,[Warmup theta] Ep 03,0.042578999884426594,0.0,0.0,0.07199071635172791,0.046178535753357654
4,[Warmup theta] Ep 04,0.040557382395491004,0.0,0.0,0.07309487002727634,0.0442121259297605
5,[Warmup theta] Ep 05,0.041016352059831424,0.0,0.0,0.06943115074679004,0.044487909605277716
6,[Warmup theta] Ep 06,0.04048871965806193,0.0,0.0,0.07459669834792589,0.044218554548491294
7,[Warmup theta] Ep 07,0.04055494400001391,0.0,0.0,0.07455522560990134,0.04428270542134136
8,[Warmup theta] Ep 08,0.039963233856240975,0.0,0.0,0.07364179248053243,0.0436453234062421
9,[Warmup theta] Ep 09,0.040140754504439734,0.0,0.0,0.06923357966416528,0.043602433486690594
10,[Warmup theta] Ep 10,0.04046293669736835,0.0,0.0,0.07149406411232072,0.044037639959463595
11,[Warmup theta] Ep 11,0.039806262905675883,0.0,0.0,0.07214535619389173,0.043413530865281415
12,[Warmup theta] Ep 12,0.03985030279413017,0.0,0.0,0.07231644103940034,0.04346612489809542
13,[Warmup theta] Ep 13,0.03989593590806901,0.0,0.0,0.07078543776846312,0.04343520780618361
14,[Warmup theta] Ep 14,0.040249899183379,0.0,0.0,0.072954560029462,0.04389762728074398
15,[Warmup theta] Ep 15,0.04044469276250147,0.0,0.0,0.07035844506111692,0.04396261505967191
16,[Warmup theta] Ep 16,0.04031894131991509,0.0,0.0,0.06998627306211756,0.0438182551155773
17,[Warmup theta] Ep 17,0.039570245717710874,0.0,0.0,0.07001443065753125,0.04307096728505483
18,[Warmup theta] Ep 18,0.03943987129054762,0.0,0.0,0.07071711873065094,0.04297572728833771
19,[Warmup theta] Ep 19,0.03913085253149909,0.0,0.0,0.07188293947350562,0.042724999627476
20,[Warmup theta] Ep 20,0.039273100578947714,0.0,0.0,0.0696058432144996,0.042753392708831814
21,[Warmup theta] Ep 21,0.04011037962108448,0.0,0.0,0.07138823125687604,0.043679791116701054
22,[Warmup theta] Ep 22,0.03978406305336771,0.0,0.0,0.07025909021038322,0.04329701761194916
23,[Warmup theta] Ep 23,0.03924946061981557,0.0,0.0,0.0696730904086065,0.04273311515561062
24,[Warmup theta] Ep 24,0.03971676844663012,0.0,0.0,0.07059402120963519,0.04324646946986684
25,[Warmup theta] Ep 25,0.03966847471557222,0.0,0.0,0.070658661005599,0.04320140783507209
26,[Alt1 theta] Ep 01,0.03947282162272615,0.0,0.0,0.06951224717688076,0.04294843409684495
27,[Alt1 theta] Ep 02,0.03948764480191056,0.0,0.0,0.07317463049832998,0.0431463763354816
28,[Alt1 theta] Ep 03,0.03992165307417881,0.0,0.0,0.07277520570966141,0.043560413333276905
29,[Alt1 theta] Ep 04,0.03966822876775352,0.0,0.0,0.06897019083657027,0.04311673834747928
30,[Alt1 theta] Ep 05,0.03966849433994424,0.0,0.0,0.07310959731976173,0.04332397426929543
31,[Alt1 theta] Ep 06,0.03943804490247842,0.0,0.0,0.07054850935326629,0.042965470464493206
32,[Alt1 theta] Ep 07,0.039752073925793975,0.0,0.0,0.0698473782653932,0.043244442945505654
33,[Alt1 theta] Ep 08,0.03940846260976852,0.0,0.0,0.07274356533083404,0.043045640933570696
34,[Alt1 resid] Ep 01,0.039297076431417687,2.3711052299518903e-08,0.0,0.06611451101048875,0.0426028020137728
35,[Alt1 resid] Ep 02,0.03951241676894914,1.207714784075338e-07,0.0,0.06391601198598301,0.04270821734360914
36,[Alt1 resid] Ep 03,0.03963031651355695,2.281347599799668e-07,0.0,0.06482884615661764,0.04287175884310928
37,[Alt1 resid] Ep 04,0.03980682522261952,2.611491396464771e-07,0.0,0.06582468527044108,0.04309805951486048
38,[Alt1 resid] Ep 05,0.039656204567920114,3.00501456751123e-07,0.0,0.06527555742968207,0.04291998248165557
39,[Alt1 resid] Ep 06,0.039581193479600256,3.4059377658953355e-07,0.0,0.06538178777974518,0.04285028296405332
40,[Alt1 resid] Ep 07,0.03952365660586873,3.312918293970454e-07,0.0,0.06726297417336756,0.042886805324710335
41,[Alt1 resid] Ep 08,0.039742542006524266,3.3751089706829837e-07,0.0,0.06625146909956695,0.04305511555919709
