Device: cpu
ESM dims = 1280
Dropped rows with missing ESM: 4382 -> 4382
Data ready: 3535 rows | 222 curves | 198 species

=== UDE core model -- UTPC + constrained residual | full training ===
  [Alt2 resid] Ep 04 | total 0.04269  (data 0.03915 | reg 0.00000 | mono 0.00000 | tail 0.07092)
  [Alt2 resid] Ep 05 | total 0.04243  (data 0.03894 | reg 0.00000 | mono 0.00000 | tail 0.06971)
  [Alt2 resid] Ep 06 | total 0.04293  (data 0.03944 | reg 0.00000 | mono 0.00000 | tail 0.06974)
  [Alt2 resid] Ep 07 | total 0.04309  (data 0.03949 | reg 0.00000 | mono 0.00000 | tail 0.07187)
  [Alt2 resid] Ep 08 | total 0.04297  (data 0.03943 | reg 0.00000 | mono 0.00000 | tail 0.07083)
  [Alt3 theta] Ep 01 | total 0.04312  (data 0.03956 | reg 0.00000 | mono 0.00000 | tail 0.07123)
  [Alt3 theta] Ep 02 | total 0.04300  (data 0.03937 | reg 0.00000 | mono 0.00000 | tail 0.07256)
  [Alt3 theta] Ep 03 | total 0.04280  (data 0.03938 | reg 0.00000 | mono 0.00000 | tail 0.06844)
  [Alt3 theta] Ep 04 | total 0.04303  (data 0.03957 | reg 0.00000 | mono 0.00000 | tail 0.06924)
  [Alt3 theta] Ep 05 | total 0.04284  (data 0.03932 | reg 0.00000 | mono 0.00000 | tail 0.07036)
  [Alt3 theta] Ep 06 | total 0.04326  (data 0.03959 | reg 0.00000 | mono 0.00000 | tail 0.07341)
  [Alt3 theta] Ep 07 | total 0.04370  (data 0.04007 | reg 0.00000 | mono 0.00000 | tail 0.07266)
  [Alt3 theta] Ep 08 | total 0.04293  (data 0.03930 | reg 0.00000 | mono 0.00000 | tail 0.07266)
  [Alt3 resid] Ep 01 | total 0.04296  (data 0.03972 | reg 0.00000 | mono 0.00000 | tail 0.06485)
  [Alt3 resid] Ep 02 | total 0.04295  (data 0.03961 | reg 0.00000 | mono 0.00000 | tail 0.06674)
  [Alt3 resid] Ep 03 | total 0.04266  (data 0.03942 | reg 0.00000 | mono 0.00000 | tail 0.06478)
  [Alt3 resid] Ep 04 | total 0.04257  (data 0.03932 | reg 0.00000 | mono 0.00000 | tail 0.06496)
  [Alt3 resid] Ep 05 | total 0.04270  (data 0.03942 | reg 0.00000 | mono 0.00000 | tail 0.06558)
  [Alt3 resid] Ep 06 | total 0.04242  (data 0.03920 | reg 0.00000 | mono 0.00000 | tail 0.06453)
  [Alt3 resid] Ep 07 | total 0.04252  (data 0.03926 | reg 0.00000 | mono 0.00000 | tail 0.06517)
  [Alt3 resid] Ep 08 | total 0.04260  (data 0.03932 | reg 0.00000 | mono 0.00000 | tail 0.06548)
  [Alt4 theta] Ep 01 | total 0.04264  (data 0.03917 | reg 0.00000 | mono 0.00000 | tail 0.06942)
  [Alt4 theta] Ep 02 | total 0.04343  (data 0.03983 | reg 0.00000 | mono 0.00000 | tail 0.07212)
  [Alt4 theta] Ep 03 | total 0.04286  (data 0.03933 | reg 0.00000 | mono 0.00000 | tail 0.07062)
  [Alt4 theta] Ep 04 | total 0.04258  (data 0.03894 | reg 0.00000 | mono 0.00000 | tail 0.07278)
